COMPONENTE,AUTOVALOR,VARIANCIA_EXPLICADA_PCT,VARIANCIA_ACUMULADA_PCT
PC1,3.3426866038031404,23.19415194475648,23.19415194475648
PC2,2.7522687125585352,19.097374740202078,42.291526684958555
PC3,1.9646324162484803,13.632143296418025,55.92366998137659
PC4,1.3713239278862845,9.515308887374218,65.43897886875081
PC5,1.195083883693673,8.292418784813242,73.73139765356404
PC6,0.8137935421547791,5.646730700665813,79.37812835422986
PC7,0.7152126016214169,4.962699684720034,84.3408280389499
PC8,0.6161427515590229,4.275276235307505,88.6161042742574
PC9,0.5516299034469933,3.8276360647342385,92.44374033899163
PC10,0.42682560323786833,2.9616470428750046,95.40538738186663
PC11,0.35174580143569373,2.440685152819099,97.84607253468573
PC12,0.24239482738601503,1.6819232920662266,99.52799582675196
PC13,0.06486559216948369,0.45008778240049907,99.97808360915246
PC14,0.003158538680968467,0.0219163908475363,99.99999999999999
