COMPONENTE,AUTOVALOR,VARIANCIA_EXPLICADA_PCT,VARIANCIA_ACUMULADA_PCT
PC1,3.3444207811475937,23.225144313524975,23.225144313524975
PC2,2.6180337804232545,18.180790141828172,41.40593445535315
PC3,2.5025343952083454,17.378711077835746,58.78464553318889
PC4,1.536784497546102,10.672114566292384,69.45676009948127
PC5,0.9191642221893017,6.3830848763146,75.83984497579588
PC6,0.8257712410798845,5.734522507499203,81.57436748329509
PC7,0.6085683098721759,4.226168818556781,85.80053630185188
PC8,0.5096476371257197,3.5392197022619456,89.33975600411381
PC9,0.5010014406874195,3.4791766714404164,92.81893267555424
PC10,0.377724023336141,2.6230834953898703,95.4420161709441
PC11,0.3531738637849672,2.4525962762844964,97.8946124472286
PC12,0.23276516527852908,1.6164247588786755,99.51103720610726
PC13,0.0687165456665697,0.4771982337956233,99.9882354399029
PC14,0.0016940966539830062,0.011764560097104219,100.0
