ID_AMOSTRA,RNQA,CORPODAGUA,ANO,PERIODO,PC1,PC2,PC3,PC4,PC5,CLUSTER
ITA-0176,MA-7181-I-4,RIO ITAPECURU,2021,7,-1.2307318735327542,1.0253395825705527,-0.5298277785843664,0.4725945371475784,5.591598968445921,0
ITA-0177,MA-7181-I-2,RIO ITAPECURU,2021,7,-1.0441245339841807,0.9900953773588447,-0.8481858493924594,0.19601880525719564,0.4522250405496548,4
ITA-0178,MA-7181-I-3,RIO ITAPECURU,2021,7,0.5150347231563428,2.144988819373852,-1.648197103007772,-0.986321089553718,0.308424001764331,4
ITA-0179,MA-7181-I-1,RIO ITAPECURU,2021,7,0.4149557029051447,1.8544050414637303,-1.3714958937508996,-0.5370308567284372,0.23329373547067395,4
ITA-0180,MA-7191-IE-4,RIO ITAPECURU,2021,7,3.136415264530046,2.330633511278742,0.3889994950577981,3.26871934536286,0.16310747659146244,1
ITA-0181,MA-7164-I-19,RIO ITAPECURU,2021,7,0.2804309515788773,2.469099495066782,-1.566025455814954,-0.2492170433361715,0.3412220113271253,4
ITA-0183,MA-7185-I-5,RIO PIRAPEMAS,2021,7,0.882874803532425,-0.016670500713356896,2.33959369121615,-1.0119840170564798,1.0091278178161127,3
ITA-0184,MA-7185-I-11,RIO ITAPECURU,2021,7,-0.9812274320234158,-0.06290550042437719,-0.4857966107646963,-0.40827248003095457,-0.6522485736337098,3
ITA-0185,MA-7183-I-4,RIO ITAPECURU,2021,7,-0.9597866807469791,2.075792271660581,-0.04526958509751237,-2.4422600055202364,-0.48926803247900313,4
ITA-0186,MA-7182-I-3,RIO PERITORO,2021,7,2.222429695932935,0.5704332762110104,-0.26466260865177815,0.37543464711962565,-1.0188191755650964,1
ITA-0187,MA-7182-I-2,RIO PERITORO,2021,7,1.2393311168134493,1.2975655966399948,0.24114778790695973,-0.4092229746172157,-0.8054325936536961,1
ITA-0188,MA-7185-I-12,RIO ITAPECURU,2021,7,-1.2673253328584164,-0.18731565041114492,-0.8379084912206062,-0.6456288289621709,-0.5141853791716913,3
