ALVO,MODELO,VARIAVEL,COEFICIENTE,COEFICIENTE_PADRONIZADO,ERRO_PADRAO,T,P_VALOR,IC_95_INF,IC_95_SUP,VIF
TURBIDEZ,completo,PH,39.83579847129233,0.554952105726509,20.63521357879831,1.930476673729304,0.06596785190720746,-2.8513931411111244,82.52299008369579,5.323762859062843
TURBIDEZ,completo,TEMPERATURA_AGUA,10.271555402858574,0.3137588915123849,6.017438113014073,1.7069648594547253,0.10129566679065838,-2.1764637448535797,22.719574550570727,2.1766055605938295
TURBIDEZ,completo,COND_ELETRICA_ESPECIFICA,0.009725040294101095,0.01689104200660424,0.11934458674841186,0.08148706664511123,0.935759577851905,-0.23715804734531648,0.25660812793351867,2.768039776267032
TURBIDEZ,completo,TEMPERATURA_AR,-2.161927566475846,-0.10932503186863604,2.935956228479255,-0.7363623290786135,0.4689547890745467,-8.23541576237664,3.9115606294249483,1.420014932431275
TURBIDEZ,completo,OXIGENIO_DISSOLVIDO,-26.25193854192223,-0.8577324534656643,8.271308172860987,-3.1738556940796303,0.004234868420309945,-43.362443141832316,-9.141433942012139,4.705070584039463
TURBIDEZ,completo,ALCALINIDADE,-1.1760799670538657,-0.27409047448783336,0.8501775354779896,-1.3833345601076676,0.17984384627491581,-2.9348061960277128,0.5826462619199813,2.5291246975946504
TURBIDEZ,completo,SOLIDOS_DISSOLVIDOS,0.061190442380887944,0.1615118950450864,0.06735358831535984,0.9084956557085704,0.37303810076528043,-0.07814107067671217,0.20052195543848805,2.0361047978568894
TURBIDEZ,completo,TRANSPARENCIA_AGUA,-81.22343805100233,-0.41805626031801324,33.38229122014669,-2.4331295151479244,0.023153827633181405,-150.2799688367835,-12.166907265221155,1.901848069805416
TURBIDEZ,completo,SOLIDOS_SUSPENSOS,0.48478103793898225,0.18645136430288192,0.44183396922752616,1.0972018262573653,0.2839080648558928,-0.4292221650451919,1.3987842409231563,1.8603510295211008
TURBIDEZ,completo,PROFUNDIDADE,-7.267106035695901,-0.05839472354156138,17.488635846681028,-0.4155330409647156,0.6816029482188356,-43.44510567577986,28.91089360438805,1.2722512913223192
TURBIDEZ,completo,CLORETO_TOTAL,-0.06892105351836872,-0.11817096121254941,0.09311446362279151,-0.7401755950350446,0.466682526324106,-0.26154299733174324,0.12370089029500583,1.6420592543662764
TURBIDEZ,completo,NITRATO,1.5073555382045873,0.1909011597278618,1.3093164055594253,1.1512538388767433,0.2614557761903953,-1.2011718086024208,4.215882885011595,1.7713801033489425
TURBIDEZ,nucleo_robusto,PH,-15.71173674431597,-0.25014246335275414,3.6145563110182515,-4.346795399596317,1.8958205886461868e-05,-22.824929349276232,-8.598544139355708,1.1128986970404011
TURBIDEZ,nucleo_robusto,TEMPERATURA_AGUA,-3.4025438468270135,-0.11472074323426096,1.7529936567468034,-1.9409903930522125,0.05319899005120464,-6.852312073622429,0.04722437996840201,1.1739681618359588
TURBIDEZ,nucleo_robusto,COND_ELETRICA_ESPECIFICA,0.005435540474770839,0.16310331229357497,0.0018295914427407711,2.970903966750233,0.003210143557643694,0.0018350331923331752,0.009036047757208503,1.0129022152460323
TURBIDEZ,nucleo_robusto,TEMPERATURA_AR,4.700356855987107,0.1470128905672568,1.8566668839539788,2.5316102186177707,0.01186620651356582,1.0465670094829371,8.354146702491278,1.1332776926954233
TURBIDEZ,nucleo_robusto,OXIGENIO_DISSOLVIDO,0.24520230844690907,0.010544550668915631,1.3011803565700084,0.18844605761900485,0.8506548334946351,-2.315429120052257,2.8058337369460755,1.0522071056893096
VAZAO,nucleo_robusto,PH,53.970089748705746,0.18754318477937182,73.81114833317947,0.7311915742739528,0.4717413161911225,-98.36863312825584,206.30881262566731,2.7705777461827856
VAZAO,nucleo_robusto,TURBIDEZ,0.7920187934562107,0.1908034042635861,0.7827968040877551,1.0117808214345008,0.3217352759547555,-0.8235944045475184,2.40763199145994,1.4977160250851531
VAZAO,nucleo_robusto,TEMPERATURA_AGUA,-73.27125445117046,-0.6390114459538945,30.619507747712586,-2.392959908267766,0.02489035013533762,-136.4668124494325,-10.075696452908424,3.0031467466446733
VAZAO,nucleo_robusto,COND_ELETRICA_ESPECIFICA,-1.6807014703687855,-0.3617732107084988,0.95859546664045,-1.753295867608336,0.09231663102071978,-3.6591452751511513,0.29774233441358056,1.793050472339937
VAZAO,nucleo_robusto,TEMPERATURA_AR,22.805392629033044,0.31062234068930145,15.492613372121367,1.4720171530305448,0.15400920771167695,-9.169789825547284,54.78057508361337,1.8752957055570043
VAZAO,nucleo_robusto,OXIGENIO_DISSOLVIDO,-73.97972355198011,-0.37783099700552814,34.15875257544536,-2.165761861138911,0.04048763757640236,-144.47992385944923,-3.479523244510986,1.2817516643238658
