RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7182-I-2,RIO PERITORO,7.0,PH,2,6.734999999999999,6.734999999999999,0.4030508652763313,6.45,7.02
MA-7182-I-2,RIO PERITORO,8.0,PH,2,6.785,6.785,0.19091883092036754,6.65,6.92
MA-7182-I-2,RIO PERITORO,9.0,PH,2,7.055,7.055,0.06363961030678918,7.01,7.1
MA-7182-I-2,RIO PERITORO,10.0,PH,2,5.3,5.3,1.9233304448274096,3.94,6.66
MA-7182-I-2,RIO PERITORO,,PH,1,6.7,6.7,,6.7,6.7
MA-7182-I-3,RIO PERITORO,4.0,PH,2,7.225,7.225,0.3747665940288707,6.96,7.49
MA-7182-I-3,RIO PERITORO,5.0,PH,1,8.0,8.0,,8.0,8.0
MA-7182-I-3,RIO PERITORO,6.0,PH,2,8.04,8.04,1.2586500705120536,7.15,8.93
MA-7182-I-3,RIO PERITORO,7.0,PH,2,6.78,6.78,0.4242640687119283,6.48,7.08
MA-7182-I-3,RIO PERITORO,8.0,PH,2,6.535,6.535,0.5444722215136413,6.15,6.92
MA-7182-I-3,RIO PERITORO,9.0,PH,2,7.09,7.09,0.2262741699796954,6.93,7.25
MA-7182-I-3,RIO PERITORO,10.0,PH,2,5.225,5.225,1.7889801564019658,3.96,6.49
MA-7182-I-3,RIO PERITORO,,PH,1,7.55,7.55,,7.55,7.55
MA-7183-I-3,RIO ITAPECURU,3.0,PH,2,7.76,7.76,0.25455844122715704,7.58,7.94
MA-7183-I-3,RIO ITAPECURU,4.0,PH,2,7.404999999999999,7.404999999999999,0.21920310216782976,7.25,7.56
MA-7183-I-3,RIO ITAPECURU,6.0,PH,2,7.68,7.68,0.2262741699796954,7.52,7.84
MA-7183-I-3,RIO ITAPECURU,7.0,PH,2,7.135,7.135,0.09192388155425078,7.07,7.2
MA-7183-I-3,RIO ITAPECURU,8.0,PH,2,7.25,7.25,0.7495331880577407,6.72,7.78
MA-7183-I-3,RIO ITAPECURU,9.0,PH,2,7.505,7.505,0.12020815280171303,7.42,7.59
MA-7183-I-3,RIO ITAPECURU,10.0,PH,2,5.505,5.505,2.170817818242701,3.97,7.04
MA-7183-I-4,RIO ITAPECURU,3.0,PH,2,7.445,7.445,0.2050609665440991,7.3,7.59
MA-7183-I-4,RIO ITAPECURU,4.0,PH,2,7.4350000000000005,7.4350000000000005,0.3747665940288701,7.17,7.7
MA-7183-I-4,RIO ITAPECURU,5.0,PH,2,7.965,7.965,0.8838834764831844,7.34,8.59
MA-7183-I-4,RIO ITAPECURU,6.0,PH,2,8.024999999999999,8.024999999999999,0.0212132034355966,8.01,8.04
MA-7183-I-4,RIO ITAPECURU,7.0,PH,2,7.15,7.15,0.1272792206135793,7.06,7.24
MA-7183-I-4,RIO ITAPECURU,8.0,PH,2,7.16,7.16,0.6505382386916236,6.7,7.62
MA-7183-I-4,RIO ITAPECURU,9.0,PH,2,7.32,7.32,0.07071067811865482,7.27,7.37
MA-7183-I-4,RIO ITAPECURU,10.0,PH,2,5.265000000000001,5.265000000000001,1.845548698896889,3.96,6.57
MA-7184-I-1,RIO CODOZINHO,7.0,PH,2,6.54,6.54,0.08485281374238515,6.48,6.6
MA-7184-I-1,RIO CODOZINHO,8.0,PH,2,6.38,6.38,0.16970562748477155,6.26,6.5
MA-7184-I-1,RIO CODOZINHO,9.0,PH,1,6.38,6.38,,6.38,6.38
MA-7184-I-1,RIO CODOZINHO,10.0,PH,1,5.82,5.82,,5.82,5.82
MA-7185-I-1,RIACHO PERITORO,3.0,PH,1,9.05,9.05,,9.05,9.05
MA-7185-I-1,RIACHO PERITORO,4.0,PH,2,6.85,6.85,0.32526911934581154,6.62,7.08
MA-7185-I-1,RIACHO PERITORO,6.0,PH,2,7.1899999999999995,7.1899999999999995,0.48083261120685306,6.85,7.53
MA-7185-I-1,RIACHO PERITORO,7.0,PH,2,6.645,6.645,0.2899137802864836,6.44,6.85
MA-7185-I-1,RIACHO PERITORO,8.0,PH,2,6.96,6.96,0.16970562748477155,6.84,7.08
MA-7185-I-1,RIACHO PERITORO,9.0,PH,2,7.21,7.21,0.5939696961966998,6.79,7.63
MA-7185-I-1,RIACHO PERITORO,10.0,PH,2,5.305,5.305,1.916259377015544,3.95,6.66
MA-7185-I-1,RIACHO PERITORO,,PH,2,6.275,6.275,1.0394469683442251,5.54,7.01
MA-7185-I-10,RIO ITAPECURU,3.0,PH,2,6.975,6.975,0.134350288425444,6.88,7.07
MA-7185-I-10,RIO ITAPECURU,4.0,PH,2,7.425000000000001,7.425000000000001,0.03535533905932694,7.4,7.45
MA-7185-I-10,RIO ITAPECURU,6.0,PH,2,7.33,7.33,0.3535533905932738,7.08,7.58
MA-7185-I-10,RIO ITAPECURU,7.0,PH,2,6.945,6.945,0.10606601717798207,6.87,7.02
MA-7185-I-10,RIO ITAPECURU,8.0,PH,2,6.5,6.5,0.9475230867899735,5.83,7.17
