ID_AMOSTRA,RNQA,CORPODAGUA,ANO,PERIODO,PC1,PC2,PC3,PC4,PC5,CLUSTER
ITA-0176,MA-7181-I-4,RIO ITAPECURU,2021,7,0.40073295296323574,1.178475501176309,0.5524192433763059,-1.0815671516205216,3.473947736897937,0
ITA-0177,MA-7181-I-2,RIO ITAPECURU,2021,7,-1.1018097844991015,1.161591412146916,-0.49956597055713087,-0.6484899966017124,0.9464904064591543,0
ITA-0178,MA-7181-I-3,RIO ITAPECURU,2021,7,-0.7221673552599523,1.2024349486741224,-2.75321112077074,-0.19186115886598284,1.0027652079950595,0
ITA-0179,MA-7181-I-1,RIO ITAPECURU,2021,7,-0.6431392178648687,0.9473226231795836,-2.455953998262864,-0.2101012654252608,0.7855335345497038,0
ITA-0180,MA-7191-IE-4,RIO ITAPECURU,2021,7,2.906432320088113,0.9324481063401392,-1.4248581047192657,-1.7432423521200093,0.43205517108595587,0
ITA-0181,MA-7164-I-19,RIO ITAPECURU,2021,7,-0.32116787505998723,1.6376444804661225,-2.427808880260199,-0.6837619540181991,0.8744858186549938,0
ITA-0183,MA-7185-I-5,RIO PIRAPEMAS,2021,7,0.4880269051113291,0.033155735459397866,0.6090584959614133,2.1425148157435374,0.8495401272907905,0
ITA-0184,MA-7185-I-11,RIO ITAPECURU,2021,7,-1.1651733136305455,0.17890765256128974,-0.006445547015865982,-0.16324381863243356,-1.0401156655542179,0
ITA-0185,MA-7183-I-4,RIO ITAPECURU,2021,7,-1.07965162632397,2.1164110604729602,-1.2931239333538413,1.6041817302419596,-0.12187967888686263,0
ITA-0186,MA-7182-I-3,RIO PERITORO,2021,7,1.6780781584814235,-0.2227905415320164,-1.315612262901521,0.0013026035284881975,-1.1944150643015699,0
ITA-0187,MA-7182-I-2,RIO PERITORO,2021,7,0.9122649237772895,0.42912563753996735,-1.4983906510453384,0.6767492481512521,-1.3066408687698288,0
ITA-0188,MA-7185-I-12,RIO ITAPECURU,2021,7,-1.4145721563283082,0.2457325543093319,0.10661903454464781,-0.3692802034353954,-0.9077070176965202,0
ITA-0189,MA-7185-I-8,RIO ITAPECURU,2021,7,-1.262045319912871,0.2802303498340326,0.10705476726369542,-0.37471164421314196,-1.0634910167489062,0
ITA-0190,MA-7185-I-1,RIACHO PERITORO,2021,7,1.88281606454214,0.3001693681308913,-2.313235986650944,0.8811259327045697,-1.1787294108043842,0
ITA-0191,MA-7183-I-3,RIO ITAPECURU,2021,7,-0.8265070953756548,0.810997525021996,0.39508333022868236,1.780683815133112,0.06389453981309638,0
ITA-0192,MA-7185-I-7,RIO ITAPECURU,2021,7,-0.7283282154477287,3.289591426461105,-1.6515615475566428,0.25960270276728364,-0.47483588458334713,0
ITA-0193,MA-7185-I-10,RIO ITAPECURU,2021,7,-0.7838209925788725,-0.0543854059626315,-0.6379871751529212,-0.9223359913141174,-1.0690163995370192,0
ITA-0194,MA-7185-I-6,RIO ITAPECURU,2021,7,-1.5052597973074027,-0.5226612145238271,0.32535763719228705,-0.21440107580001197,-0.6084951577496981,0
ITA-0195,MA-7184-I-1,RIO CODOZINHO,2021,7,3.345629119976456,-1.9605568986524824,-1.6331695781307909,3.8228850935705543,-0.018909158932454723,0
ITA-0203,MA-7185-I-5,RIO PIRAPEMAS,2022,7,-0.8893555569785232,-3.136624448757074,-0.2885084164013815,-0.2601104755118214,0.05692293943709664,0
ITA-0204,MA-7185-I-11,RIO ITAPECURU,2022,7,-0.18866699223724948,-1.295905174802961,0.41772972799290786,-1.4952536496352957,-0.13035444037563035,0
ITA-0207,MA-7182-I-2,RIO PERITORO,2022,7,-1.4909613430690263,-2.914453177551131,0.002714375727079175,-0.5189731834597403,0.323550839557733,0
ITA-0208,MA-7185-I-12,RIO ITAPECURU,2022,7,-0.620266927283307,-1.377474829590541,0.9416373599284709,0.1262366779760725,0.7925060214656983,0
ITA-0209,MA-7185-I-8,RIO ITAPECURU,2022,7,0.4713803166632967,-1.1037983592683476,0.37307986043110664,0.3170707781881457,0.4032445083437789,0
ITA-0210,MA-7185-I-1,RIACHO PERITORO,2022,7,-1.394323313507829,-2.921659720569661,0.7109919702454864,0.09546718337172087,0.009222523063508995,0
ITA-0211,MA-7183-I-3,RIO ITAPECURU,2022,7,0.4669426503149499,-0.29231855058291456,-0.8742639840367963,-1.03274194034746,-0.31297444018606707,0
ITA-0212,MA-7185-I-7,RIO ITAPECURU,2022,7,0.4909755197412715,-0.6955409039951785,-0.3775812503909854,-2.257274584167492,-0.1241147488069051,0
ITA-0213,MA-7185-I-10,RIO ITAPECURU,2022,7,0.04025421092886129,-1.4437697368695623,0.0025311855994691224,-2.624757208016983,-0.5942089695548337,0
ITA-0214,MA-7185-I-6,RIO ITAPECURU,2022,7,-0.3583579520102121,-2.2301270447703945,1.1276281596433846,-0.04018972390692151,-0.6707186613286963,0
ITA-0215,MA-7184-I-1,RIO CODOZINHO,2022,7,-0.7695186213272326,-2.7808639251505776,-0.033673034079948524,1.676407457207691,1.867583527792366,0
ITA-0216,MA-7181-I-4,RIO ITAPECURU,2022,8,-0.49037105164588185,0.8852704581497505,1.9973223119988213,0.7028558716623851,-0.738412447659931,0
ITA-0217,MA-7181-I-2,RIO ITAPECURU,2022,8,-1.2845527242258519,0.48737183145161256,2.917758195075674,1.0802808873795982,-0.4293156656750218,0
