ID_AMOSTRA,LINHA_BASE,ANO,PERIODO,CAMPANHA,ABA_ORIGEM,LINHA_ORIGEM,RNQA,HIDRO,ROTA,MUNICIPIO,CORPODAGUA,NUMERO_COLETA,NUMERO_LAUDO,DATA_COLETA,HORARIO_COLETA,NUMERO_MEDICAO,LATITUDE,LONGITUDE,CHOVEU_EM_24H,PROFUNDIDADE,VAZAO,TEMPERATURA_AR,TEMPERATURA_AGUA,PH,OXIGENIO_DISSOLVIDO,COND_ELETRICA_ESPECIFICA,TURBIDEZ,SALINIDADE,ALCALINIDADE,TRANSPARENCIA_AGUA,SOLIDOS_DISSOLVIDOS,SOLIDOS_SUSPENSOS,CLORETO_TOTAL,FLUORETO_TOTAL,BROMETO_TOTAL,NITRATO,NITRITO,SULFATO,FOSFATO_TOTAL,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,SITUACAO,OBSERVACOES,ORIG_FLUORETO_TOTAL,ORIG_BROMETO_TOTAL,ORIG_NITRATO,ORIG_NITRITO,ORIG_SULFATO,ORIG_FOSFATO_TOTAL,BACIA_ITAPECURU,CRITERIO_BACIA,FLAG_VALOR_INVALIDO,MOTIVO_VALOR_INVALIDO,VALIDO_PARA_CALCULO,OUTLIER_PROFUNDIDADE,OUTLIER_VAZAO,OUTLIER_TEMPERATURA_AR,OUTLIER_TEMPERATURA_AGUA,OUTLIER_PH,OUTLIER_OXIGENIO_DISSOLVIDO,OUTLIER_COND_ELETRICA_ESPECIFICA,OUTLIER_TURBIDEZ,OUTLIER_SALINIDADE,OUTLIER_ALCALINIDADE,OUTLIER_TRANSPARENCIA_AGUA,OUTLIER_SOLIDOS_DISSOLVIDOS,OUTLIER_SOLIDOS_SUSPENSOS,OUTLIER_CLORETO_TOTAL,OUTLIER_FLUORETO_TOTAL,OUTLIER_BROMETO_TOTAL,OUTLIER_NITRATO,OUTLIER_NITRITO,OUTLIER_SULFATO,OUTLIER_FOSFATO_TOTAL,OUTLIER_ORTOFOSFATO,OUTLIER_FOSFORO_TOTAL,OUTLIER_NITROGENIO_AMONIACAL,N_OUTLIERS_LINHA
ITA-0156,1053,2020,6.0,1.0,2020- 6° PERIODO 1A CAMPANHA,100,MA-7185-I-10,33550010.0,6.0,CAXIAS,RIO ITAPECURU,141,144,2020-12-17,11:20:00,1.0,-4.67706,-43.54256,,0.211,,27.35,29.63,7.08,7.43,45.6,25.52,0.02,8.0,0.4,40.0,11.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0157,1055,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,3,MA-7181-I-4,33698050.0,1.0,ROSARIO,RIO ITAPECURU,12,12,2021-03-04,08:40:00,2.0,-3.05814,-44.25304,,,,24.32,26.89,6.4,5.07,58.3,121.0,0.03,18.0,0.2,200.0,80.66,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,1
ITA-0158,1057,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,5,MA-7181-I-2,33693000.0,1.0,SANTA RITA,RIO ITAPECURU,13,13,2021-03-04,09:34:00,2.0,-3.16104,-44.865,,,,25.16,27.49,6.33,5.1,57.2,77.2,0.03,10.0,0.0,320.0,51.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0159,1059,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,7,MA-7181-I-3,33685000.0,1.0,ITAPECURU-MIRIM,RIO ITAPECURU,16,16,2021-03-04,13:50:00,2.0,-3.59762,-44.40028,,,,26.56,26.95,6.41,5.35,62.4,78.95,0.03,18.0,0.2,160.0,39.6,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0160,1060,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,8,MA-7181-I-1,33690000.0,1.0,ITAPECURU-MIRIM,RIO ITAPECURU,15,15,2021-03-04,11:10:00,2.0,-3.37329,-44.34638,,,,24.84,26.91,6.3,5.26,57.9,84.51,0.03,20.0,0.2,140.0,47.42,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0161,1066,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,14,MA-7191-IE-4,33698000.0,1.0,ROSARIO,RIO ITAPECURU,9,9,2021-03-04,06:53:00,2.0,-2.90605,-44.25041,,,,24.0,26.7,6.02,5.04,85.6,26.7,0.04,18.0,0.2,160.0,64.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0162,1069,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,17,MA-7164-I-19,33680001.0,1.0,CANTANHEDE,RIO ITAPECURU,14,14,2021-03-04,14:25:00,2.0,-3.62958,-44.37784,,,898.3,26.57,27.08,6.49,5.48,63.5,90.73,0.03,16.0,0.2,360.0,54.5,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,1
ITA-0163,1123,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,71,MA-7185-I-3,33631001.0,5.0,SAO MATEUS DO MARANHAO,RIO TAPUIO,92,92,2021-05-27,10:18:00,2.0,-4.01076,-44.44241,,,,25.76,29.55,6.62,4.92,138.4,26.5,0.06,10.0,0.5,160.0,14.66,,,,,,,,,,,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0164,1139,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,87,MA-7185-I-9,33590010.0,6.0,CODO,RIO ITAPECURU,112,112,2021-06-01,07:40:00,2.0,-4.4821,-43.79364,,,,24.6,28.2,6.6,7.35,77.1,24.3,0.04,12.0,0.4,240.0,7.2,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0165,1140,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,88,MA-7185-I-5,33638000.0,6.0,COROATA,RIO PIRAPEMAS,111,111,2021-06-01,17:44:00,2.0,-3.93618,-44.01845,,,,25.5,32.25,6.52,5.2,109.0,6.04,0.05,16.0,0.8,220.0,7.6,,,,,,,,,,,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
