,PC1,PC2,PC3,PC4,PC5,PC6,PC7
PH,0.1379603387334532,-0.5730460557285725,-0.6246614606656786,-0.21681175703075387,-0.034889696323635026,0.46276378837413995,-0.0028757230035010104
TURBIDEZ,0.45021501233524086,0.07599815563954382,-0.3686978016977853,0.14327766248147983,-0.5977516984657285,-0.5163902838776342,-0.1053477439841173
TEMPERATURA_AGUA,0.1122370730853543,-0.556866525963919,0.6546664589710298,-0.14586839376768995,-0.47352586503815464,0.05660906259346188,-0.0023281014221814902
COND_ELETRICA_ESPECIFICA,0.49576684244084024,0.1102709472726234,0.14385165495292293,-0.37546227963287204,0.30889804560222556,0.025983492655363732,-0.6959146424645651
TEMPERATURA_AR,0.326979436772853,-0.44797038632094777,0.07194759036841916,0.6371395946189498,0.4810180922027793,-0.2200749053685569,0.03837047193827415
OXIGENIO_DISSOLVIDO,-0.4043092734360261,-0.36324562895979773,-0.11998507498723429,-0.4270109860510973,0.21659879914822294,-0.6753995969283507,-0.0690808852272435
SALINIDADE,0.4995096838974615,0.10467872192020894,0.07075058634643629,-0.4265318469705062,0.20865623358989382,-0.1035057656565572,0.705936620088024
